,index,Emotion,Statement
28,4263,guilt,"At secondary school, one of my classmates lost her locker key.   
During a class I saw two other classmates holding a key and  
talking secretly.  I do not know why I suspected them, also  
another classmate supported me.  He remembers that these people  
had only one key in the key-ring, this had seemed strange to him.  
 Besides another classmate said that he had seen them selling  
books at a book-shop and they should not have had such books.  I  
told the teacher and the person was caught.  He had sold the  
books and was forced to quit school.  I found that I had not  
helped him as he stole later on also.  I felt guilty"
29,6090,sadness,"When I took the B.A exams,I was expecting a 1st class even though  
I had not done very well. When the results came out I felt sad as  
I had missed the 1st class by 12 marks."
30,103,anger,"I felt unfairly treated at an airport, being told to use a  
different counter (for domestic traffic only)."
31,1880,disgust,"I vividly remember having feelings of disgust toward some of my  
jr. high classmates who didn't work at all on their schoolwork  
and who would coplain and take my tax money when I was older and  
more successful than they were. At the time I pictured some  
adults like this that I knew in the complaining situation."
32,1949,disgust,Saw a real party leader.
33,1421,disgust,I felt disgust when I saw a dead animal on the roadway.
34,2585,fear,"It was not long ago when I and two of friends of mine got quite drunk  
and one of them began to rave under the influence of the alcohol.  
I felt fear of what could have happened."
35,6217,sadness,"I have once been very sad and lonely.  This was when I was trying  
to organize a play as a student (15 years).  Instead of  
materializing, it fizzled out.  The worst thing was that the play  
fell apart completely and I found myself weeping uncontrollably.   
Now when I think of it, I laugh it off; but at that time it was  
intense."
36,1456,disgust,"I am disgusted with liers, hypocrites, slanderers, flunkeys."
37,6340,sadness,Finding out that China is still backward in science.
38,6211,sadness,"When my sister lost her only son, who was sixteen years old.  I  
felt very bad about it as this was the first death in my family  
and then I learned slowly to understand to life."
39,5327,joy,"Talkiing about the past happy hours with two friends at night in  
a camp a few months ago.  We shared our feelings, notions and  
every hidden anxiety.  I thought that they cared for me and I  
was very happy and satified."
40,5620,sadness,"It was only once that I really felt sad: at my grandfather's  
funeral (after a long time of suffering he had died of cancer)."
41,6998,shame,"When I state things with great positiveness and try to convince  
others, and it appears that my statement is not right."
42,204,anger,"During the Christmas holdidays I wanted to invite my brother, his  
girlfriend and their child for dinner. When I said to my  
brother's girlfriend that I would like them to come at my place  
for dinner, she refused and never mentioned it again as if I  
had never asked her."
43,5226,joy,"When my boyfriend came form Rumphi to Lilongwe for a visit I was  
very happy to see him and couldn't believe it was him with me."
44,7041,shame,"A children's film in which I played a clown, with spotlights,  
cameras and the director who demanded jumps and guffaws."
45,6911,shame,"When dropping a carton of boiling soup onto a co-worker's leg -  
causing great pain, and for me, severe embarassment at my own  
ineptitude, and shame that another person suffered as a result."
46,7493,shame,"It was discovered that I had received a warning letter as my  
G.P.A was very low."
47,2425,fear,"When at school, I threw a duster at another child and hit him in  
the head. The blow caused a flesh wound and I was afraid of what  
would happen to me when the teacher found out the circumstances."
48,5232,joy,"I was joyful when I received a present (2 books and a pencil)  
from the headmaster in standard 6 because I had passed, I became  
No 1 and he said I was one of the pupils who had good behaviour."
49,1680,disgust,One day I went to see a rather disagreeable film (X).
50,1426,disgust,"I was returning from the Universtity at night when I was accosted  
by a boy who molested me, passing his hands on my body."
51,6973,shame,"I was catched when, as a little girl, I played tricks. I was very  
startled then and wet my pants."
52,772,anger,"People having a football match outside the window during the  
lecture."
53,5203,joy,"I passed my MCE Examination. at first I was worried but when I  
heard my name I had joy in my heart and I arranged for a trip to  
attend a wedding ceremony."
54,1279,disgust,"One day, when I was twelve years old, my brother took some slimy  
substance swimming on the surface of a pot of vinegar made of  
cider and threatened to throw it at me."
55,6532,shame,"When taking part in the mobbing of one of my best friends in  
primary school."
56,4487,joy,"A person whom I had not seen for a long time called me and  
invited me for a party."
57,2714,fear,In the morning just before going to the dentist.
58,6965,shame,"I thought of myself as being clumsy when I made love for the  
first time with a girl."
59,2726,fear,"When I almost fell down from some rocks because I had been acting  
foolishly and playing dangerously."
60,6371,sadness,Death of General Ye Jianying.
61,4068,guilt,"I read about the national and social spirit and self-discipline  
of the people of developed coutries like U.S.A, England, France,  
Germany etc.  Comparing this to the Indian people I felt guilty  
as they have no national spirit or self-discipline."
62,6042,sadness,I was very sad at hearing that my grandfather had passed away.
63,4656,joy,My boyfriend made me a proposal.
64,3679,guilt,"When I deliberately engineered a situation to cause tension  
between friends so as to bolster the impression one of them had  
of me !"
65,788,anger,"When someone threw a firecracker into my room at 7:00 am in the  
morning."
66,3593,guilt,"It was my mother's birthday. My father and I used to buy a  
present together. However, now I had bought something together  
with my girlfriend and I forgot to ask my father."
67,2011,disgust,"I felt this situation when a certain woman from a close village  
shouted at my mother because she didn't get what she wanted, she  
wanted some salt to put in her relish."
68,2307,fear,"My grandfather had lung-cancer and was being nursed at  
home.  I felt fear when I was alone with him and he almost choked  
on mucus secretions."
69,6597,shame,"When I realized that I had been wrong about a person close to me,  
because of pre-set ideas and prejudices."
70,4800,joy,"This week I was phoned by an old friend with whom I lost contact  
a few years ago."
71,6813,shame,"My first girlfriend. I had the feeling that she was going out  
with me only because of my defect."
72,4872,joy,When I passed the university entrance exam.
73,1523,disgust,"A child told me she had been sexually abused by her step-father.  
I only knew the child and had not come into contact with either  
parent. I tried to do what was best for the child. The event and  
the stepfather disgusted me."
74,5696,sadness,"I remember the day my father died. I was 11 years old and my  
sadness was so great that until today I remember everything  
about that day, from the clothes I was wearing to the reactions of people,  
the despair of my mother and brother. It marked me a lot and was  
the greatest sadness I felt."
75,2181,fear,Someone attacked me with a knife.
76,6396,sadness,When I forgot the lyrics during a song contest.
77,3576,guilt,"When I provoked a fight with my mother, hurting her feelings very  
much."
78,2461,fear,"Finding myself alone in a public toilet block with a man known to  
have had great psychological disturbances."
79,6167,sadness,I felt sadness when my grandfather died.
80,1963,disgust,"The time I went to see one of my girlfriends at Area 18 I found  
that she was not there but in the room she was sleeping, in the same  
room there were some women visitors with children so the room was  
smelling very badly with some faeces and urine in it so I didn't stay  
any longer."
81,2399,fear,"When I had to go through lonely streets in the middle of the  
night."
82,3287,guilt,"When I pulled a chair from under someone at kindergarten and he  
hit his head."
83,6959,shame,"It was during a school holiday - I was found necking a girl in my  
room by my father."
84,4342,joy,When I met friends I had not seen for the last 2-4 years.
85,4406,joy,[ Being close to another person.]
86,6752,shame,"I was very fat, and was ashamed of my body."
87,4829,joy,"When Christmas holiday started, I felt very joyful when I  
finished my last exam."
88,843,anger,"When I was at S.Y.Bajaj I wanted to get admission in another  
college and this was not easy and I felt angry. "
89,7290,shame,"A few months back I had gone to my friend's place and they offered  
me tea and coffee.  I do not have the habit of drinking tea or  
coffee and so they offered me a glass of milk instead, so I felt ashamed."
90,3589,guilt,"I couldn't fulfill a request of a girlfriend of mine, though I  
categorically promised her and I believed there wouldn't be any  
hindrance. It was partly for objective reasons but also because  
I couldn't organize myself."
91,4049,guilt,When I fought with my friends.
92,4895,joy,"When I received some good news : I obtained an amount of money I  
needed to buy something I had been planning to buy."
93,4045,guilt,"I went to the cinema with my friends, without telling my mother  
about it as I had been to the cinema the day before also.  When  
she asked me where I had been, I lied."
94,1503,disgust,"In autumn I had to move to another lodging. My landlords, quite  
intelligent people, warned me I had to move in the nearest  
future. But I had difficulties in moving my luggage because I  
couldn't wait for a car to come. How amazed I was to hear them  
threatening me they would throw our my things. And at that my  
luggage was well packed and did not stand in their way. I was  
quite  disappointed and disgusted."
95,7007,shame,"When I realized that I had a hole in my trousers after having gone  
for a walk."
96,6943,shame,"When I was 10 years old I stained our bench with a fountain-pen,  
I tried to twin the cushions, but then there were colour nuances.  
Then my mother catched me, she saw it and became very angry."
97,5125,joy,When I was selected at TISS X.
98,6588,shame,"When I noticed that a person I found attractive had seen me  
picking my nose."
99,7220,shame,"I slipped on butter one evening in the Dining Commons landed on  
my rear causing my tray also to land on the floor."
100,4853,joy,When my brother was born.
101,2316,fear,"I was camping with a friend of mine and we spent the night in the  
forest.  I could not fall off to sleep and could clearly hear  
noises from outside (steps ?) approaching our tent."
102,1488,disgust,"I met three drunk boys, almost children, they didn't look like  
normal people."
103,164,anger,"A male, Honduran acquaintance of mine despised my opinions."
104,4508,joy,"During my first week in Graz I met a girl who I had got to know  
in the train from Amsterdam to Graz. Although I had considered  
her very sympathetic, we had seperated without changing our  
adresses."
105,2342,fear,"When I was a child, I was always afraid of my father. Just when  
he looked at me, I felt frightened."
106,5102,joy,"A party with no worries (i.e. no tests homework etc.) many  
friends were present and good music."
107,1826,disgust,"When I beat up my brother in order to control him and make him  
obey my parents orders."
108,6382,sadness,"Being sexually assulted and told my friends about it (we cried  
together)."
109,6176,sadness,"My nephew's mother just left one day (my brother and she were  
not married). My nephew, Anthony, was shaken. I was sad for him  
because a similar situation happened to me."
110,4215,guilt,"A friend wanted to give me a surprise into my room and I thought  
she was stealing from the room."
111,1681,disgust,"When I had to sleep in a bed at a hostel, which was full of dirt."
112,187,anger,"At the weekend I wanted to be absent from school because of a  
sports event, but my teacher refused to give me the day off  
because he didn't like me."
113,2871,fear,"I was afraid when I learnt that my father was seriously ill in  
hospital."
114,5534,sadness,When my grandmother died of cancer.
115,979,anger,I was told to do something I did not want to do.
116,7466,shame,"When the teacher asked me a question, I did not know the answer  
and I just stood still for about a few minutes without saying a  
word."
117,6039,sadness,"When my family and I heard of the death of my grandfather.  We had  
 seen him a few weeks earlier and it seemed that he had just been  
waiting to see us."
118,4159,guilt,"I was to prepare relish for the family. I overcooked it and no  
one liked the meal that day."
119,6901,shame,Cannot remember such a situation.
120,6519,shame,"[ I do not remember when I last felf ashamed.  I do not usually  
feel ashamed of what I do.]"
121,2979,fear,"A few weeks back my daughter had very high fever and I was scared  
that it might lead to brain damage or convulsions."
122,5033,joy,"A few weeks back I received a Christmas card from a friend in  
England.  She had not written to me in a very long time but it      
showed that she still remembered me."
123,2140,disgust,"My friend and I worked for the community centre by holding a booth.  
 One day my friend went off to another booth to play.  This  
meant that I was very busy and could not maintain order.  His  
behaviour disgusted me."
124,791,anger,"When the person I'm having the affair with won't talk to me in  
public."
125,2241,fear,"When I was involved in a car accident last November, after the  
first fall of snow.  I lost control of the car and it spun round  
and landed on the opposite side of the road, on the hard  
shoulder.  It was stopped by a pole on top of a bank sloping down  
to a stream."
126,1818,disgust,"When I saw a drunk man urinate upon himsellf and he seemed to be  
thoroughly content with it."
127,3452,guilt,"I had been together with my boy-friend for two and a half years,  
when he got to know another girl and not even tried to conceal  
that from me. I drew my conclusions and left him - I also felt a  
bit guilty for what had happened."
128,5671,sadness,"I left my home in Melbourne to come to Q'land to study and before  
I hopped in the car I hugged my mother and shook hands with my  
father. Sensing immediately my father's sadness, I also had a  
flood of the same emotion."
129,2796,fear,"When I was about six years old, I mistook a cat for a leopard       
when it entered my room at night."
130,4707,joy,"I felt glad when I took the rather difficult organic chemistry  
examination."
131,1552,disgust,"A boyfriend with whom I split up with came over to a friend's  
house where I was visiting with a male friend. In a confrontation  
in another room he tried to find out if I was aroused by my  
friend by feeling my parts."
132,1251,disgust,"Yesterday in the elevator a man started smoking, this is  
something I just can not tolerate."
133,6165,sadness,"When I did bad on a chamistry midterm which I could have done  
well."
134,7401,shame,"China cannot let you give more lectures because you are needed in  
the specialist clinics. We are so backward in medicine."
135,5156,joy,Saw on TV China winning the gold medals.
136,6923,shame,"I ate very fattening food in front of my boyfriend who would like  
me to lose weight. I am supposedly pursuing a modelling career  
but first I must lose weight. I had been trying to diet."
137,6963,shame,"A much older man took advantage of me during my childhood (four  
to eight years of age)."
138,1704,disgust,I saw a sort of black worm being attacked by many ants.
139,2562,fear,A fear of lack of personal powers.
140,2761,fear,"In a dark street at 4 o'clock in the night and there was  
complete silence."
141,969,anger,"South Korea winning more gold medals in the Asian Olympic (more  
than China)."
142,6079,sadness,"When someone I love told me that she did not love me anymore and  
that she wanted all the snaps that she had given me in exchange  
for the ones I had given her."
143,1966,disgust,"The emotion came to me when a certain girl who was not polite to  
her mother hit her sister severely."
144,4618,joy,"I wanted to go out to walk but I didn't know either where or  
with whom, suddenly an invitation appeared."
145,586,anger,"During an argument between friends, one of them accused me of  
taking advantage of some other friends who usually come to the  
university in my car, saying that I ask them too much money for  
the petrol."
146,2828,fear,"When a drunkard barged into a room where my friend and I had run  
in order to get away from him.  We were all alone and all I could  
see was this hand coming towards me."
147,6455,shame,Nearly caught masturbating.
148,2789,fear,"I went to visit a friend in hospital.  He was going to be  
operated the next day.  I was afraid that they would not let me  
in and I did not know what his reaction would be on seeing me."
149,5899,sadness,"I have high expectations for my future but if I pursue the  
subject in this manner I will not attain this."
150,6970,shame,"During a party I overheard a conversation about china. When I  
wanted to give my opinion one of the people came out to be Chinese  
and his opinion was right of course."
151,3868,guilt,When I was caught stealing mangoes in a certain compound.
152,4277,joy,When I saw a person I had not seen for a long time.
153,5382,sadness,"When my boyfriend openly let me down, preferring another girl."
154,4807,joy,"I won the first prize at the science fair, the first of the kind  
at school and I was only in form II then.  "
155,6867,shame,"I felt ashamed when my parents found out that I had deceived  
them."
156,3092,fear,"I was playing with friends then I decided to splash some sand  
into a car which was moving nearby. The driver got angry and came  
to report to my parents."
157,1606,disgust,"During military service I heard the story of someone who tried to  
commit suicide and as a result of this got a week custody."
158,3888,guilt,"Dad had just married his second wife (my step-mother) and I did  
not like her so I went to the wardrobe and set fire to her  
dresses.  Eveyone suspected my brother and he had to bear the  
consequences.  Nobody ever got to know that it was me who had  
done it. "
159,5699,sadness,When I try to get closer at a person and she misinterpreted me.
160,2085,disgust,"My roommate being nice to a party leader in order to get into the  
party."
161,500,anger,"A good friend deceived me. Because of that little quarrel our  
relationship finished, mainly because she was not honest. I was  
very angry about that."
162,3697,guilt,"The first time I went away with my boyfriend and lied about where  
we were staying."
163,5757,sadness,Recently I happened to remain alone for a long time.
164,7291,shame,"My teacher asked me a question which I failed to answer and I was  
told to stay behind after the class and give the answer after  
studying it from a book."
165,4854,joy,"When I saw that I had passed the university entrance exam.  It  
made me forget all my problems."
166,1150,disgust,"At what I was capable of of selfishly using others for sexual  
encounters, while I held a vision of having a deepening  
above-board (you know, ""girl next door"") devotion to a girl in my  
head. My drives and actions did not match this so consequently I  
felt disgusted at my failure."
167,5419,sadness,"My girlfriend who had spent 6 months abroad broke off our  
relationship by letter."
168,4678,joy,When I was admitted to the University.
169,758,anger,"In form three we were taking our mock exams and someone else (a  
friend) was making noise when the examinateur picked on me and  
said that he would tear up my answer sheet.  I got very angry  
with the girls involved."
170,5465,sadness,A very close friend left me.
171,4036,guilt,"I've had three midterms in the past two weeks and I hardly  
studied for any of them (like 1 or 2 days) I feel guilty that I  
hadn't studied and I got C's on all of them."
172,4515,joy,"Unexpectedly I met some persons who I like very much.  
Spontaneously they invited me and integrated me within their  
group, although it was late in the evening."
173,2002,disgust,When my fellow classmates were involved in a quarrel.
174,7020,shame,When inadvertantly I found myself in the ladies room.
175,2424,fear,"Taking a trip to crocokile country I fell out of the boat and was  
motivated by fear of being eaten to perform great swimming feats."
176,3895,guilt,"When I beat up a first year student at my secondary school in  
my capacity as the deputy head boy.  He had woken up late in the   
morning for manual work."
177,3339,guilt,"During 7th grade our class mobbed a famale teacher so badly that  
she had a breackdown and was hospitalized."
178,7385,shame,Saw the film about Eight Nations Army conquering Beijing.
179,649,anger,"When a person the same age as me insisted that I call him  
""Mister"".  I refused to succumb, but he persisted and I got angry  
as he had belittled me."
180,2706,fear,"When I slipped on a glazed frost road and a car almost ran into  
me."
181,4433,joy,"I was in a dancing-tavern and the atmosphere was one of waiting  
for the end of the world.  Suddenly people began dancing wildly,  
inspired by the band.  An unbelievable experience : wonderful  
that even Finns sometimes flare up and forget to think ""what  
others are thinking of me"".  It was delightful to dance to one's  
heart content."
182,7181,shame,When I failed the grade seven exams.
183,863,anger,"[ On discovering the red-tapism and the bureaucratic, corrupt,  
decadent, degenerated infrastucture of every public utility,  
office and service; and the rampant corruption at every single  
level of education and other institutions.]"
184,57,anger,"In a course I thought that I deserved good marks but I only got  
ordinary marks with no justification as to why I was given these  
marks."
185,1505,disgust,"I had a very good friend (boy) and I thought I could rely on him  
but he behaved badly with a girl who used to trust us completely."
186,3259,guilt,"I was unfaithful to my partner once when he was working abroad  
for a long period."
187,6437,sadness,"I suddenly found that those whom I considerered to be my good  
friends did not care for me.  Although I could still be with them  
I felt unimportant.  I deeply thought about the reason behind  
this so as to see who was responsible for this.  Finally I made  
up my mind and decided not to expect too much from them.  I was  
sad when I decided that they were no longer my good friends."
188,4468,joy,"In Southern Tyrol, I was gathering apples, it was a fine day, I  
was not thinking about anything, I felt an overwhelming joy."
189,3479,guilt,"When I came very late one night (or morning !) and my parents  
were waiting, not so much angrgy as disappointed."
190,3152,fear,"Suddenly found out that I was the lasr one to leave the anatomy  
room."
191,3112,fear,Telling my parents that I did not well in an examn.
192,913,anger,"I planned to travel a distance of 20 kilometres on my bike. I  
planned this when I was working in the hospital. When I went to  
the house I found that a friend had taken my bike without my  
consent."
193,559,anger,"When our cat was killed in a car-accident I was very angry at the  
driver of the car because he didn't take enough care."
194,3304,guilt,I said nasty things which I did not mean to a friend.
195,3303,guilt,"I broke off with my partner as I wanted him as a friend and not  
as a lover.  He reacted very violently and I felt guilty as I  
had made him so desperately unhappy."
196,5028,joy,"When I was offered a place in the university as a full time  
student."
197,5506,sadness,"My grandfather died, I went to the mortuary and saw the corpse."
198,4602,joy,"When I met a girl and asked her for a date and she agreed, (I  
thought this girl would never like me), this was an emotion of  
joy."
199,7308,shame,"When I had insulted my father two years back, at that time I was  
very angry due to some reasons."
200,4412,joy,"When I got home from my job, I found a letter from the university  
telling me that I had been admitted to begin my studies."
201,499,anger,"When someone accuses me without reason and is not willing to  
listen to me."
202,6569,shame,When I forgot a promise made to a friend of mine.
203,5078,joy,I went home and visited with my family and friends.
204,4712,joy,"I feel joy usually after each taken exam, the last one was in  
February."
205,5190,joy,"It was when I was allowed to take my wife away from her parents  
after being refused for three times on grounds that she should  
first write her examination."
206,3540,guilt,When I shout at a colleague in classroom.
207,6404,sadness,"In 1983, my results at the university entrance exam were very  
poor - far from what I had expected.   I thought that I would not  
be accepted at the university."
208,3406,guilt,"I had to take care of the plants of a friend of mine for several  
weeks. I watered them, but let them stand in a cold room so that  
two of them perished."
209,5618,sadness,"During my holiday I met again a friend who had tried to commit  
suicide. She had just left hospital, her lips were trembling, she  
looked miserable."
210,3732,guilt,"Very often I take care for my little sister and oversee her  
duties. Most of the time everything went fine, but sometimes she  
absolutely didn't want to obey; then I hit her (we frequently  
were hit by our father)."
211,5236,joy,"The time when my sister had her first baby I was so happy and  
joyous because she stayed for two days after marriage before she  
had a child."
212,1571,disgust,When I entered a toilet in a bar and it stank.
213,7093,shame,At school - being whipped by the teacher in front of the class.
214,4925,joy,"When I hooked a girl in Kitwe.  She was very beautiful for my  
standards, a rare bird of this kind accepted me as a boyfriend."
215,858,anger,"A new gas connection was to be installed and the mechanic who came  
to do it was very rude to my mother and me.  I rushed to thhe  
dealer with my mother and had a fight with the dealer as he  
seemed to be unreasonable and was taking the mechanic's side.   
Ultimately the matter was resolved after my father went and spoke  
to him.  The mechanic was asked to apologize."
216,6817,shame,"Recently I saw a young girl fawning on a man. And what for -  
money and things. I was ashamed to be a woman."
217,1118,disgust,"My parents attitude towards each other when they should become  
reconciled, despite my father's long-time addiction."
218,2738,fear,"When I was attending an authorized demonstrationand the police  
rushed brutally at the demonstrators, without any warning."
219,5087,joy,"Football was a very big deal at my high school, so I was joyous  
when my school's team won the conference championship last year."
220,6580,shame,"When I was caught telling a white lie.  At that time, I was not  
allowed to stay outdoors after 8 p.m.  One day when I was late, I  
made up a story that our neighbour had invited me to his place,  
though I had actually forgotten about the time while playing with  
my pals."
221,6168,sadness,"My girlfriend wanted to breakup for an indefinite amt. of time.  
She said that she couldn't commit herself fully to the  
relationship without going out with other people. I was her first  
boyfriend."
222,7118,shame,"I felt ashamed when a friend, I had always respected, insulted me  
in public.  He was drunk."
223,4296,joy,"I was told quite unexpectedly that one wanted me to become the  
vice-chairman of our student organisation.  I was really  
surprised and joy was the first emotion I felt, though behind it  
there was worry - how shall I succeed ?"
224,242,anger,"A friend of mine told other people that I was a slattern (because  
of an occurence that had happened some time ago). When I heard  
about that I was very angry."
225,2927,fear,"I was driving and stopped at a stop light. I was planning to make  
a right turn as soon as it was clear. It was clear on the left so  
I started but a man was just in front of the car."
226,2920,fear,"When I was watching a movie in which there was a pit full of  
dangers and there was only a small safe place on which a man was  
standing; he had to catch the lady who was thrown in or else !  
The pit was 20 feet deep."
227,821,anger,When my roommate's moped was stolen I was very angry.
228,4439,joy,"After having at last finished my master's thesis, I felt great  
joy and relief.  I had been haunted by the thesis during the  
whole of my studies."
229,4581,joy,"Receiving a very personal letter from a lady that I like, which  
revealed that she was more enthusiastic about me than I had  
thought possible."
230,764,anger,"When my mother scolded me for coming home late, i.e after 7 P.M."
231,56,anger,"On the way home from Marstrand I was driving behind my father's  
car.  Another car tried to push in front of my father and he was  
forced to swerve and he thus collided the car with a pillar.  The  
other car drove off without even seeing what had happened."
232,2075,disgust,Saw someone acting in a false manner in public.
233,4938,joy,"I was at school whhen I received a letter from the dean of my  
school congratulating me for my performance at the previous  
year's exam. "
234,421,anger,"I got angry with a stranger in a train who behaved impertinently  
and immorally"
235,978,anger,Arguing about price with private shop-assistant.
236,3204,fear,"I found a problem in homework which would not get solved although  
I tried my best."
237,4013,guilt,"Going out with another girl besides my girlfriend and not telling  
her."
238,336,anger,"When my mother slapped me in the face, I felt anger at that  
moment."
239,5823,sadness,"My girlfriend let me down badly 3 times in one week. These  
instances summed up all the negative aspects of our relationship  
which at the time seemed doomed to fail."
240,3722,guilt,"When I finished a test type of exam and did not dare to answer  
any question, I doubted whether I would pass the exam  or not."
241,5010,joy,"I met my friend and he gave me a wonderful present as it was my  
birthday.  I enjoyed having that present."
242,2088,disgust,Some boys boasting about their ability to tell dirty jokes.
243,1332,disgust,"At a social event when none of the guests would help to serve  
food or clear tables. It was all beneath them."
244,5918,sadness,"I hadn't been at my parent's place for a long time. When I went to  
visit them I had high expectations, but when I was there it was  
very different from what I expected."
245,1436,disgust,When the Americans set their nucleaar missiles in Europe.
246,7133,shame,"I was ashamed when my friend and I were cross with each other  
till we apologized to each other."
247,2059,disgust,Someone being arrogant to me.
248,3320,guilt,Not applicable to myself.
249,2704,fear,"When I slept for the first time all alone in the house where I  
live now. A man phoned me at 2.00 am. He wanted something from  
me. I was afraid."
250,4059,guilt,When I could not complete my assignment on time.
251,1672,disgust,"I read a book whose plot and expressions were obscene and in very  
bad taste."
252,941,anger,"It was during the beginning of the term. I had K100 and kept it  
in my handbag. I left the handbag in the wardrobe but didn't  
lock it. Next time I found that K30 were stolen."
253,1863,disgust,When I saw President Reagan get elected.
254,460,anger,"That a friend had been badly beaten and stabbed many times and  
the person that did it got away without any punishment from the  
law."
255,1498,disgust,"I felt disgusted about a teacher who had rejected all that was  
human in her. She refused to accept the flowers we gave her for  
the eighth of March and asked for a foreign parfume instead."
256,4464,joy,My boyfriend returned after a long absence.
257,7064,shame,"I ride my motorbike in my village and everyone stares at me as if  
I was a rare specimen."
258,7319,shame,"It was a shameful moment when I heard that I had failed my  
Primary School leaving Certificate Exam in 1978. My girlfriend  
was there when the news was released."
259,3877,guilt,"My cousin knocked on the door, looking for me to get her watch  
back.  I had given it to my girlfriend, Lizzy, as a present."
260,836,anger,[ I feel angry when somebody is unjust to me.]
261,2925,fear,"A man in a car was following me when I went running early one  
morning in a fairly secluded area."
262,292,anger,When I was put into a tennis team below my standard.
263,5154,joy,"I was emotionally happy when I was in love with the girl I had  
longed for."
264,3392,guilt,"I stopped my car in front of a pedestrian crossing as a child was  
crossing the street.  The car driving in the next lane did not  
stop and the child got hurt.  Had I not stopped ..."
265,5451,sadness,"A colleague's 17 year old daughter is seriously ill with cancer  
and has only a year to live.  I  heard about it 6 weeks ago."
266,1211,disgust,"When a friend of mine got drunk and started to blame and scorn my  
other friends and me."
267,1419,disgust,"Seeing persons spending money in a shopping center with  
completely indifference to the misery reigning in our country."
268,2999,fear,"Once when I was walking alone at mid-night, I happened to put my  
foot on a frog, as it felt smooth I thought that it was a snake   
and I felt afraid.  
 
"
269,4053,guilt,"One day I went to see a movie without my parents permission.  It  
was an adult movie and I was scared that my parents would not  
allow me to see the movie.  However after coming home I felt very  
guilty at what I had done."
270,5502,sadness,"[ A person close to me told me that his positive regard depended  
on my conduct.]"
271,5152,joy,"When my brother was selected to the University of Malawi (the  
Polythecnic). I was very excited and I rejoiced due to one of our  
family members qualifying for University level at long last."
272,154,anger,"My life-partner, who was drinking more and more, spoke about  
kicking the cat.  He had never done anything of the kind, but I  
knew that he would do so one day, without thinking about it."
273,5439,sadness,When my dog died.
274,3616,guilt,I forgot to convey an important announcement.
275,6741,shame,"Because I was lazy and unthoughtful I did not get into contact  
with a very close friend when she shifted from the Gold Coast to  
Brisbane, for a month, despite her efforts to contact me. I felt  
shamed when I finally confronted her again."
